Keyword 1,Keyword 2,Keyword 3,Keyword 4,Genre
fantasy,dragon,magic,adventure,Fantasy
wizard,sword,castle,hero,Fantasy
elves,enchanted,forest,kingdom,Fantasy
spell,wizardry,creatures,adventure,Fantasy
kingdom,prophecy,dark magic,knight,Fantasy
dragons,quest,mystical,hero,Fantasy
enchanted,sword,battle,kingdom,Fantasy
magic,wizard,ancient,evil,Fantasy
creature,treasure,exploration,dark,Fantasy
legend,realm,sorcery,battle,Fantasy
love,relationship,heart,emotions,Romance
passion,romance,love story,couple,Romance
heartbreak,relationship,betrayal,trust,Romance
soulmate,love affair,desires,long distance,Romance
desire,romance,family,emotions,Romance
wedding,commitment,couple,affair,Romance
passion,attraction,love triangle,cupid,Romance
infatuation,emotions,love,secrets,Romance
date,soulmate,dreams,connection,Romance
romance,adventure,passion,discovery,Romance
crime,detective,murder,investigation,Mystery
suspense,crime,detective,investigation,Mystery
secrets,murder,clues,solving,Mystery
police,investigation,dark,criminal,Mystery
investigation,detective,crime scene,suspicious,Mystery
murderer,case,clues,suspects,Mystery
detective,mystery,crime,motive,Mystery
thriller,case,investigation,criminal,Mystery
criminal,suspect,mystery,case,Mystery
robots,technology,AI,future,Science Fiction
space,galaxy,alien,universe,Science Fiction
time travel,future,parallel,quantum,Science Fiction
starship,exploration,technology,science,Science Fiction
cyborg,dystopia,technology,robots,Science Fiction
alien,spaceship,colony,galaxy,Science Fiction
time,space,future,machines,Science Fiction
science,space,technology,alien,Science Fiction
future,robots,android,technology,Science Fiction
dystopia,technology,future,survival,Science Fiction
survival,wilderness,nature,isolation,Adventure
explorer,journey,expedition,remote,Adventure
treasure,map,adventure,island,Adventure
mountain,challenge,survival,quest,Adventure
island,shipwreck,survival,danger,Adventure
expedition,jungle,discovery,map,Adventure
journey,risk,excitement,adventure,Adventure
pirates,sea,treasure,exploration,Adventure
quest,adventure,danger,challenge,Adventure
voyage,island,survival,exploration,Adventure
war,battle,soldier,strategy,Historical Fiction
empire,war,king,army,Historical Fiction
medieval,knight,battle,king,Historical Fiction
royal,dynasty,history,empire,Historical Fiction
ancient,war,kingdom,power,Historical Fiction
sword,battle,hero,medieval,Historical Fiction
warrior,kingdom,medieval,knight,Historical Fiction
history,empire,ruler,politics,Historical Fiction
army,battle,conquest,royal,Historical Fiction
history,war,hero,conflict,Historical Fiction
magic,witches,curse,powerful,Horror
darkness,creature,fear,nightmare,Horror
ghost,haunted,eerie,sinister,Horror
terror,monster,unknown,fright,Horror
curse,evil,horror,spirits,Horror
demon,darkness,haunted,scream,Horror
dread,fear,paranormal,creepy,Horror
blood,terror,cursed,ghost,Horror
nightmare,fear,haunting,unknown,Horror
blood,evil,demon,supernatural,Horror
family,childhood,love,nostalgia,Drama
friendship,emotions,bonding,love,Drama
struggle,life,hardship,emotions,Drama
tragedy,emotions,family,loss,Drama
conflict,relationship,growth,change,Drama
forgiveness,healing,love,family,Drama
love,hope,family,overcoming,Drama
betrayal,heartbreak,life,struggle,Drama
pain,grief,family,love,Drama
loss,growth,life,journey,Drama
humor,emotions,family,relationships,Drama
loss,healing,change,family,Drama
conflict,love,life,growth,Drama
tension,grief,change,family,Drama
heartbreak,love,betrayal,family,Drama
misfortune,hardship,grief,loss,Drama
ambition,growth,family,love,Drama
loneliness,heartache,growth,love,Drama
suspense,thrill,mystery,action,Thriller
detective,crime,chase,mystery,Thriller
investigation,suspense,murder,twists,Thriller
secrets,danger,tension,crime,Thriller
mystery,investigation,danger,crime,Thriller
thriller,criminal,chase,suspense,Thriller
conspiracy,chase,tension,crime,Thriller
action,chase,investigation,suspense,Thriller
plot twists,criminal,investigation,secrets,Thriller
adventure,action,mystery,secrets,Thriller
